"Disease1","Disease2","TestValue","ExpectedValue","Variance","PValue","IsPositive","AdjustedPValue"
"condition_602","condition_605",17,2.76273008559421,2.75728073970409,0,TRUE,0
"condition_602","condition_607",7,0.406606476441478,0.406567087611554,0,TRUE,0
"condition_604","condition_605",21,1.55596038945576,1.55511156299412,0,TRUE,0
"condition_604","condition_606",5,0.278815426784803,0.278801891104602,0,TRUE,0
"condition_605","condition_606",11,1.04674625130793,1.04644855006275,0,TRUE,0
"condition_606","condition_607",4,0.172814650047827,0.172811405925618,0,TRUE,0
"condition_607","condition_698",9,0.446319214727642,0.446299946238294,0,TRUE,0
"condition_610","condition_1605",42,11.6358552279377,11.62982509636,0,TRUE,0
"condition_708","condition_709",122,13.958789340751,13.95077027867,0,TRUE,0
"condition_708","condition_712",115,29.3024222992797,29.2646020891044,0,TRUE,0
"condition_708","condition_1617",180,88.7189506656415,88.3467928351873,0,TRUE,0
"condition_709","condition_712",51,11.3119230074372,11.306679518497,0,TRUE,0
"condition_712","condition_719",43,4.22485428375552,4.22401376205818,0,TRUE,0
"condition_914","condition_916",120,22.1471572377914,22.0988751066212,0,TRUE,0
"condition_915","condition_916",115,48.0203509055542,47.7211029626619,0,TRUE,0
"condition_915","condition_998",46,10.9503514021819,10.9360984839227,0,TRUE,0
"condition_916","condition_1015",47,9.85586090400492,9.84416665739407,0,TRUE,0
"condition_1105","condition_1898",185,78.9971954738206,78.5765881441948,0,TRUE,0
"condition_1110","condition_1198",71,27.4120986366021,27.3606808575882,0,TRUE,0
"condition_1110","condition_1598",45,6.17761942649024,6.17532923671264,0,TRUE,0
"condition_1117","condition_1198",75,26.4971471312337,26.4273516983881,0,TRUE,0
"condition_1215","condition_1298",39,10.3763338609084,10.3660190112244,0,TRUE,0
"condition_1601","condition_1614",23,4.25957302465197,4.25846752909651,0,TRUE,0
"condition_1601","condition_1627",86,13.0706223581036,13.0591949694162,0,TRUE,0
"condition_1609","condition_1617",142,57.0902909998579,56.860852167736,0,TRUE,0
"condition_1609","condition_1622",58,19.8560214157172,19.8298845295429,0,TRUE,0
"condition_1615","condition_1998",8,0.436529348259103,0.436519282895578,0,TRUE,0
"condition_1616","condition_1622",77,23.808179662971,23.7757354824349,0,TRUE,0
